"Town_Code","Town_Name","Pop_T","city_class"
56636,"Padali Gujar",12901,"Class_4"
56637,"Nagala Imarti",5774,"Class_5"
56638,"Dhandera",23276,"Class_3"
56639,"Maohanpur Mohammadpur",14394,"Class_4"
56777,"Rawali Mahdood",17467,"Class_4"
56778,"Bahadarabad",10096,"Class_4"
56779,"Jagjeetpur",15043,"Class_4"
57045,"HMT Pinjore",3873,"Class_6"
57167,"Chandi Mandir",9051,"Class_5"
57168,"Bir Ghaghar",4943,"Class_6"
57169,"Ram Garh",4934,"Class_6"
57170,"Raipur Rani",9028,"Class_5"
57341,"Kakar Majra",3246,"Class_6"
57342,"Majra",4884,"Class_6"
57507,"Boh",8482,"Class_5"
57508,"Tundla",5658,"Class_5"
57509,"Babiyal",26412,"Class_3"
57510,"Jandli",14397,"Class_4"
57511,"Kanwla",5024,"Class_5"
57512,"Kardhan",18662,"Class_4"
57513,"Nanhera",6035,"Class_5"
57651,"Saha",8100,"Class_5"
57652,"Barara",21545,"Class_3"
57958,"Mustafabad",9042,"Class_5"
57959,"Buria",10903,"Class_4"
57960,"Kansepur",18909,"Class_4"
57961,"Sasauli",22479,"Class_3"
57962,"Farakhpur",9569,"Class_5"
57963,"Badhi Majra",9188,"Class_5"
57964,"Radaur",13690,"Class_4"
58145,"Sadaura",14818,"Class_4"
58146,"Bilaspur",11733,"Class_4"
58298,"Chhachhrauli",10533,"Class_4"
58472,"Ismailabad",13726,"Class_4"
59310,"Uncha Siwana",8922,"Class_5"
59496,"Kachrauli",5400,"Class_5"
59497,"Kabri",7049,"Class_5"
59498,"Sikanderpur",8894,"Class_5"
59499,"Asan Khurd",6873,"Class_5"
59500,"Panipat Taraf Ansar",42877,"Class_3"
59501,"Panipat Taraf Makhdum Zadgan",67998,"Class_2"
59502,"Ugra Kheri",24440,"Class_3"
59503,"Panipat Taraf Rajputan",28803,"Class_3"
59504,"Sec. 11&12 Part II",8876,"Class_5"
59505,"Kheri Nangal",18195,"Class_4"
59905,"Fazalpur",3692,"Class_6"
59906,"Bayyanpur",5406,"Class_5"
59907,"Badh Malak",6938,"Class_5"
59908,"Kundli",21633,"Class_3"
60260,"Bhuran",5603,"Class_5"
60411,"Jhakal Mandi",7788,"Class_5"
60865,"Adampur",25531,"Class_3"
61014,"Uklana Mandi",13219,"Class_4"
61015,"Gangwa",25847,"Class_3"
61016,"Satrod Khurd",5568,"Class_5"
61017,"Satrod Khas",10932,"Class_4"
61018,"Satrod Kalan",11932,"Class_4"
61019,"Mayyer",6039,"Class_5"
61274,"Tosham",15559,"Class_4"
61679,"Sunari Kalan",7506,"Class_5"
61808,"Ladrawan",6905,"Class_5"
61910,"Faizabad",1309,"Class_6"
62334,"Nagal Chaudhry",8538,"Class_5"
62388,"Bhakali",9970,"Class_5"
62658,"Aakera",7110,"Class_5"
62659,"Ghatal Mahaniawas",6005,"Class_5"
62660,"Maheshari",9180,"Class_5"
62661,"Rampura",5954,"Class_5"
62662,"Manethi",5070,"Class_5"
62837,"Garhi Harsaru",7894,"Class_5"
62838,"Badshahpur",15593,"Class_4"
62924,"Manesar",23448,"Class_3"
62989,"Bhondsi",17410,"Class_4"
63071,"Khori Kalan",6007,"Class_5"
63190,"Salamba",5727,"Class_5"
63336,"Nagina",11417,"Class_4"
63432,"Pingwan",12612,"Class_4"
63498,"Tilpat",20514,"Class_3"
63583,"Piala",4291,"Class_6"
63730,"Baghola",5413,"Class_5"
63731,NA,23072,"Class_3"
63905,"Bankner",14788,"Class_4"
63906,"Bhor Garh",8627,"Class_5"
63907,"Tikri Khurd",13772,"Class_4"
63908,"Bakhtawar Pur",12716,"Class_4"
63909,"Bankauli",5339,"Class_5"
63910,"Ali Pur",20332,"Class_3"
63911,"Mukhmel Pur",4931,"Class_6"
63912,"Ibrahim Pur",10614,"Class_4"
63913,"Qadi Pur",18369,"Class_4"
63914,"Libas Pur",44375,"Class_3"
63915,"Siras Pur",30445,"Class_3"
63916,"Khera Kalan",8252,"Class_5"
63917,"Sahibabad Daulat Pur",54773,"Class_2"
63918,"Pehlad Pur Bangar",22968,"Class_3"
63919,"Khera Khurd",9777,"Class_5"
63920,"Barwala",8948,"Class_5"
63921,"Pooth Khurd",10654,"Class_4"
63922,"Bawana",73680,"Class_2"
63923,"Darya Pur Kalan",6310,"Class_5"
63936,"Qutab Garh",7639,"Class_5"
63937,"Lad Pur",5529,"Class_5"
63938,"Kanjhawala",10331,"Class_4"
